digit,type,correlation
1,Clean,0.97008579203562
1,Clean,0.9736266086552064
1,Clean,0.9703411774494297
1,Clean,0.9743424425488236
1,Clean,0.971321237049408
1,Clean,0.9700620611962957
1,Clean,0.9781150116806884
1,Clean,0.9755192044227597
1,Clean,0.9765936269724964
1,Clean,0.9731927578591844
1,Clean,0.9709478603060587
1,Clean,0.9751509741766111
1,Clean,0.9715824818738756
1,Clean,0.9735144959572156
1,Clean,0.9766637859523088
1,Clean,0.9744885017876344
1,Clean,0.9738724941413066
1,Clean,0.9732643422993463
1,Clean,0.9708637303660764
1,Clean,0.9732868618298743
1,Clean,0.9785536541095977
1,Clean,0.9730605443263937
1,Clean,0.9721025125114792
1,Clean,0.9733321486122669
1,Clean,0.969773785140119
1,Clean,0.975919133557157
1,Clean,0.972060521374003
1,Clean,0.9705209942795051
1,Clean,0.9712655632278211
1,Clean,0.9771017870854891
1,Clean,0.9730767514264153
1,Clean,0.9715794049794971
1,Clean,0.9710316962463889
1,Clean,0.9746682113455344
1,Clean,0.9730464120838334
1,Clean,0.9720574165730086
1,Clean,0.9732604474522685
1,Clean,0.9726307595646373
1,Clean,0.9724089743775881
1,Clean,0.9709323783520117
1,Clean,0.9717909015702478
1,Clean,0.9746289814859113
1,Clean,0.9690630479270697
1,Clean,0.9753893126620574
1,Clean,0.9741745099324272
1,Clean,0.9723521254324242
1,Clean,0.9752951317335502
1,Clean,0.9760895547556909
1,Clean,0.9734843105460884
1,Clean,0.974409127778658
1,Clean,0.9744373111690959
1,Clean,0.9718397719905965
1,Clean,0.9759158416444552
1,Clean,0.9719246103981636
1,Clean,0.9725871738952907
1,Clean,0.9689680787318082
1,Clean,0.973009597764098
1,Clean,0.9739501158254221
1,Clean,0.9749887470904799
1,Clean,0.9711372449155731
1,Clean,0.9685503056710285
1,Clean,0.9767491697346523
1,Clean,0.9691348593489072
1,Clean,0.9760146785588326
1,Clean,0.9655700333661988
1,Clean,0.9663251221988419
1,Clean,0.970975336195342
1,Clean,0.9722581184352075
1,Clean,0.9734457733109908
1,Clean,0.9727489301602116
1,Clean,0.9740133096647203
1,Clean,0.9723468285709613
1,Clean,0.9792800932407165
1,Clean,0.9752178707137603
1,Clean,0.9721345976024185
1,Clean,0.9701993152237294
1,Clean,0.9701214831437374
1,Clean,0.9744343926530828
1,Clean,0.9710837620621633
1,Clean,0.9742874416853202
1,Clean,0.9773905705944139
1,Clean,0.9686186658392583
1,Clean,0.975996019538645
1,Clean,0.9739895345799914
1,Clean,0.9745559331522519
1,Clean,0.9666851033334113
1,Clean,0.9736369509290015
1,Clean,0.9719195863787266
1,Clean,0.9742954107955932
1,Clean,0.9699610748136126
1,Clean,0.9725970454751999
1,Clean,0.9740968477899227
1,Clean,0.9725715153428662
1,Clean,0.9728999938220586
1,Clean,0.9694378311800436
1,Clean,0.9771479209696337
1,Clean,0.9733840170399464
1,Clean,0.972377203206086
1,Clean,0.975856736755221
1,Clean,0.9762359292823494
1,Clean,0.9762280252821232
1,Clean,0.9766251246330129
1,Clean,0.967981143261485
1,Clean,0.9707424870150664
1,Clean,0.9766322725251564
1,Clean,0.9760810571019634
1,Clean,0.978371692895053
1,Clean,0.9759792234955108
1,Clean,0.9711229431709784
1,Clean,0.9728320871908501
1,Clean,0.9766090168145215
1,Clean,0.9747839374421772
1,Clean,0.9701405029151703
1,Clean,0.9738376093373577
1,Clean,0.9727966370535526
1,Clean,0.9742750108775978
1,Clean,0.9736029598836153
1,Clean,0.9754155372501124
1,Clean,0.975723171193357
1,Clean,0.9759616463227976
1,Clean,0.9701862565684847
1,Clean,0.9791558946075114
1,Clean,0.9688140239953197
1,Clean,0.9700633039597717
1,Clean,0.976924703593681
1,Clean,0.9754224281220034
1,Clean,0.9760348549203146
1,Clean,0.9762970214583323
1,Clean,0.9768040831043793
1,Clean,0.9725605314168594
1,Clean,0.9718652370972864
1,Clean,0.9720853901158756
1,Clean,0.9752671343819773
1,Clean,0.9770892507286252
1,Clean,0.9741486348229278
1,Clean,0.9759179536310589
1,Clean,0.9774767563660832
1,Clean,0.9737371850246903
1,Clean,0.972515383460524
1,Clean,0.9759080477997251
1,Clean,0.9726962762043766
1,Clean,0.9706143917498665
1,Clean,0.9724197172712025
1,Clean,0.9718422574146265
1,Clean,0.9731343979087433
1,Clean,0.977569871828877
1,Clean,0.9774677607598944
1,Clean,0.9754793852461316
1,Clean,0.9736549846539517
1,Clean,0.9727374095286462
1,Clean,0.9707508049594838
1,Clean,0.9766439255793983
1,Clean,0.9731034061440963
1,Clean,0.9761548437149692
1,Clean,0.9717758123692711
1,Clean,0.974251409973158
1,Clean,0.9726072226326674
1,Clean,0.9733092970224604
1,Clean,0.9715372263673825
1,Clean,0.9755969802539948
1,Clean,0.9703307868202513
1,Clean,0.9739429711650176
1,Clean,0.9719072202759212
1,Clean,0.9726086499213057
1,Clean,0.9735766075356024
1,Clean,0.9723158240630819
1,Clean,0.9765368086430798
1,Clean,0.9724881666088608
1,Clean,0.9728910490895124
1,Clean,0.9719657294587613
1,Clean,0.9752326508188949
1,Clean,0.9728684238235001
1,Clean,0.9732670704810829
1,Clean,0.970473629649869
1,Clean,0.9748904968654893
1,Clean,0.9747453010802801
1,Clean,0.9732082792412237
1,Clean,0.974678517136977
1,Clean,0.9726001996159037
1,Clean,0.9754089701693647
1,Clean,0.9737646690253539
1,Clean,0.9743508604813743
1,Clean,0.9729215361447712
1,Clean,0.9726018113888382
1,Clean,0.9758573833167615
1,Clean,0.9727855378202517
1,Clean,0.9718995940278243
1,Clean,0.9738116508364825
1,Clean,0.973740983209329
1,Clean,0.9721412052596453
1,Clean,0.9727354850951198
1,Clean,0.9697071874157351
1,Clean,0.9729707052822242
1,Clean,0.9687092387507024
1,Clean,0.9721124333490192
1,Clean,0.974042928081749
1,Clean,0.9733848574883802
1,Clean,0.9695785726426361
1,Clean,0.9748921951776299
1,Clean,0.976180528146151
1,Clean,0.9737033363268107
1,Clean,0.9749760881751878
1,Clean,0.9726171319449953
1,Clean,0.9710601039704974
1,Clean,0.9743548789299373
1,Clean,0.9727335093877093
1,Clean,0.9662647391287311
1,Clean,0.976450853772978
1,Clean,0.9703222389971846
1,Clean,0.9706363608435008
1,Clean,0.9721957689215558
1,Clean,0.9749905750644896
1,Clean,0.9766394470833781
1,Clean,0.9730325516583505
1,Clean,0.9742014220786462
1,Clean,0.9720543053840076
1,Clean,0.9722959413896166
1,Clean,0.9730464289744282
1,Clean,0.9731678206770332
1,Clean,0.9721425853106491
1,Clean,0.9713811488052515
1,Clean,0.9762999015078563
1,Clean,0.9748482465620972
1,Clean,0.9739145634413631
1,Clean,0.9700150305009947
1,Clean,0.9763240387458711
1,Clean,0.9789312940398947
1,Clean,0.9725124861802794
1,Clean,0.9708974164757228
1,Clean,0.9698594901946297
1,Clean,0.9769125264281316
1,Clean,0.9732453014381277
1,Clean,0.9739218028125916
1,Clean,0.9741044949261536
1,Clean,0.975004705833246
1,Clean,0.9707489433078497
1,Clean,0.9754235317419262
1,Clean,0.9729265997816063
1,Clean,0.9753317641252113
1,Clean,0.973951567934812
1,Clean,0.9696345925373365
1,Clean,0.9769876494550107
1,Clean,0.9752103383497877
1,Clean,0.9742095358088001
1,Clean,0.976865089733474
1,Clean,0.9730003082145291
1,Clean,0.974091932004889
1,Clean,0.9742142064342058
1,Clean,0.9722106346131074
1,Clean,0.9755651594730694
1,Clean,0.9755510998135667
1,Clean,0.9728004284530769
1,Clean,0.9754386606642921
1,Clean,0.9753419483040229
1,Clean,0.9718143703077639
1,Clean,0.9696127595324262
1,Clean,0.9723852080409071
1,Clean,0.9740079574190872
1,Clean,0.9717910943335704
1,Clean,0.9722226817446048
1,Clean,0.9735121046905272
1,Clean,0.9748310117702327
1,Clean,0.9741823679737123
1,Clean,0.9744731504146776
1,Clean,0.9737822350170982
1,Clean,0.9735931223924165
1,Clean,0.9764639880104018
1,Clean,0.9730853735990873
1,Clean,0.974935327833712
1,Clean,0.9692717041773616
1,Clean,0.9774925055309848
1,Clean,0.9742388049389671
1,Clean,0.973735461222657
1,Clean,0.9753806511667575
1,Clean,0.9749400673677531
1,Clean,0.9759725008077209
1,Clean,0.9702903932991989
1,Clean,0.9742419365439909
1,Clean,0.9723536393586539
1,Clean,0.9720791303173852
1,Clean,0.970994703253709
1,Clean,0.9704367766919895
1,Clean,0.9747302164929472
1,Clean,0.9726002991366309
1,Clean,0.9729753451851209
1,Clean,0.9745841408168308
1,Clean,0.9730792829145541
1,Clean,0.9734811951073872
1,Clean,0.9702415835018645
1,Clean,0.9758215099683314
1,Clean,0.9734073614468864
1,Clean,0.9704746730041486
1,Clean,0.973811139026614
1,Clean,0.9708760669890373
1,Clean,0.9715823147849297
1,Clean,0.9734244793303328
1,Clean,0.9725597757001722
1,Clean,0.9764108444243662
1,Clean,0.971931602327379
1,Clean,0.9705474723008148
1,Clean,0.97413802438722
1,Clean,0.9683577494474571
1,Clean,0.9736360999923691
1,Clean,0.970200129812536
1,Clean,0.9709433198251061
1,Clean,0.9705216308309758
1,Clean,0.9727543191961439
1,Clean,0.9701070169071087
1,Clean,0.975629211355085
1,Clean,0.9751234087926267
1,Clean,0.9767838901893596
1,Clean,0.9716502791925401
1,Clean,0.9762243215716689
1,Clean,0.9727721062016939
1,Clean,0.9707274515685039
1,Clean,0.9698628944005421
1,Clean,0.9730810359770038
1,Clean,0.9766008732942352
1,Clean,0.9752131441031847
1,Clean,0.964110879744101
1,Clean,0.9723117463877718
1,Clean,0.9723515970250791
1,Clean,0.9744818705997569
1,Clean,0.9706030455241913
1,Clean,0.9761860731838571
1,Clean,0.971550480342141
1,Clean,0.9719937353613058
1,Clean,0.9744095630129206
1,Clean,0.9786363993482929
1,Clean,0.973637962673739
1,Clean,0.9711075853501054
1,Clean,0.9719196007254666
1,Clean,0.977327375473539
1,Clean,0.9760398845080132
1,Clean,0.9741345420707148
1,Clean,0.9757202374195552
1,Clean,0.9728219036884413
1,Clean,0.9766230466992152
1,Clean,0.9740420173244548
1,Clean,0.9753690653477121
1,Clean,0.9735142287239156
1,Clean,0.9728728609076863
1,Clean,0.974959817772427
1,Clean,0.970567367104066
1,Clean,0.9700019555572187
1,Clean,0.9708469771400409
